iter	Passed	Remaining
425	1625	2189
426	1627	2183
427	1629	2177
428	1632	2172
429	1634	2166
430	1639	2164
431	1642	2160
432	1645	2154
433	1648	2149
434	1651	2144
435	1653	2138
436	1655	2133
437	1658	2127
438	1660	2122
439	1663	2116
440	1666	2111
441	1668	2106
442	1672	2102
443	1680	2104
444	1683	2099
445	1685	2093
446	1687	2088
447	1690	2083
448	1693	2077
449	1705	2084
450	1709	2081
451	1713	2076
452	1715	2071
453	1717	2065
454	1719	2059
455	1721	2053
456	1723	2047
457	1726	2043
458	1728	2037
459	1730	2031
460	1732	2025
461	1734	2019
462	1736	2013
463	1738	2008
464	1740	2003
465	1743	1997
466	1744	1991
467	1746	1985
468	1748	1980
469	1750	1974
470	1752	1968
471	1755	1963
472	1757	1957
473	1758	1951
474	1760	1946
475	1793	1974
476	1795	1968
477	1805	1971
478	1807	1966
479	1809	1960
480	1811	1955
481	1814	1949
482	1816	1944
483	1821	1941
484	1823	1936
485	1825	1931
486	1836	1934
487	1838	1928
488	1840	1923
489	1842	1917
490	1844	1912
491	1847	1907
492	1851	1903
493	1853	1898
494	1855	1893
495	1857	1887
496	1861	1884
497	1864	1879
498	1873	1881
499	1895	1895
500	1899	1891
501	1901	1886
502	1903	1881
503	1906	1876
504	1908	1871
505	1911	1865
506	1914	1861
507	1916	1856
508	1918	1850
509	1920	1845
510	1922	1840
511	1924	1834
512	1928	1830
513	1938	1832
514	1940	1827
515	1945	1824
516	1947	1819
517	1949	1814
518	1952	1809
519	1961	1811
520	1964	1805
521	1969	1803
522	1971	1798
523	1974	1793
524	1977	1789
525	1979	1783
526	1981	1778
527	1983	1773
528	1985	1767
529	1986	1761
530	1988	1756
531	1991	1752
532	1993	1746
533	1995	1741
534	1997	1736
535	1999	1730
536	2001	1725
537	2002	1719
538	2005	1715
539	2007	1709
540	2008	1704
541	2010	1698
542	2012	1693
543	2014	1688
544	2015	1682
545	2017	1677
546	2019	1672
547	2021	1667
548	2023	1662
549	2025	1656
550	2026	1651
551	2028	1646
552	2030	1640
553	2031	1635
554	2033	1630
555	2035	1625
556	2037	1620
557	2039	1615
558	2041	1610
559	2043	1605
560	2044	1600
561	2046	1595
562	2049	1590
563	2051	1585
564	2053	1580
